filename	mark	label	off0	off1	span
PMC4257079	T1	Application_Mention	1947	1962	Kaluza analysis
PMC4257079	T2	Developer	1973	1988	Beckman Coulter
PMC4257079	T3	Application_Mention	3530	3554	Kaluza analysis software
PMC4257079	T4	Application_Mention	3590	3604	GraphPad Prism
PMC4257079	T5	Version	3605	3606	5
PMC4257079	T6	Developer	3608	3625	GraphPad Software
PMC4257079	T7	Application_Mention	3749	3763	GraphPad Prism
PMC4257079	T8	Version	3764	3765	5
PMC3524521	T1	Application_Mention	96	115	COMSOL Multiphysics
PMC3524521	T2	Version	116	127	4.1 and 4.2
PMC3524521	T3	Application_Mention	129	148	COMSOL Multiphysics
PMC3524521	T4	Application_Mention	220	226	COMSOL
PMC4736865	T1	Application_Mention	41	45	SPSS
PMC4736865	T2	Version	46	48	22
PMC4736865	T3	Developer	59	67	SPSS Inc
PMC3532996	T1	Application_Mention	460	463	SAS
PMC3532996	T2	Version	466	471	9.1.3
PMC3532996	T3	Developer	473	486	SAS Institute
PMC3065992	T1	Application_Mention	184	194	AxioVision
PMC3065992	T2	Version	198	205	4.7.2.0
PMC3065992	T3	Developer	207	245	Carl Zeiss Image Solutions, Carl Zeiss
PMC3065992	T4	Application_Mention	1023	1027	PAUP
PMC3065992	T5	Application_Mention	1152	1156	PAUP
PMC3065992	T6	Application_Mention	2110	2117	MrBayes
PMC3065992	T7	Version	2121	2126	3.1.2
PMC3065992	T8	Application_Mention	2295	2306	MrModeltest
PMC3065992	T9	Version	2310	2311	2
PMC3065992	T10	Application_Mention	2803	2807	PAUP
PMC3065992	T11	Application_Mention	2867	2876	Modeltest
PMC3065992	T12	Version	2880	2883	3.7
PMC4368859	T1	Application_Mention	411	420	WinNonlin
PMC4793049	T1	Application_Mention	246	256	Statistica
PMC4793049	T2	Version	271	273	10
PMC3230829	T1	Application_Mention	38	39	R
PMC3230829	T2	Version	40	44	2.11
PMC3230829	T3	Application_Mention	162	167	Stata
PMC3230829	T4	Version	170	172	11
PMC4793000	T1	Application_Mention	2407	2417	Sigma Stat
PMC4793000	T2	Version	2444	2447	3.2
PMC2248739	T1	Application_Mention	166	176	ImageQuant
PMC5076548	T1	Application_Mention	47	55	StatView
PMC5076548	T2	Developer	68	85	SAS Institute Inc
PMC5076548	T3	Application_Mention	150	164	GraphPad Prism
PMC5076548	T4	Developer	168	190	GraphPad Software, Inc
PMC3049466	T1	Application_Mention	9	18	OriginPro
PMC3049466	T2	Version	19	20	8
PMC3049466	T3	Developer	22	31	OriginLab
PMC5009042	T1	Application_Mention	684	688	SPSS
PMC5009042	T2	Version	693	697	14.0
PMC5009042	T3	Developer	699	707	SPSS Inc
PMC3351187	T1	Application_Mention	1702	1716	GraphPad PRISM
PMC3351187	T2	Version	1717	1718	5
PMC3351187	T3	Developer	1720	1738	Graph Pad software
PMC3198078	T1	Application_Mention	890	904	Image-Pro Plus
PMC3198078	T2	Version	914	917	5.0
PMC3198078	T3	Developer	919	936	Media Cybernatics
PMC3198078	T4	Application_Mention	1228	1242	Image-Pro Plus
PMC3198078	T5	Version	1252	1255	5.0
PMC3198078	T6	Application_Mention	5155	5159	SPSS
PMC3198078	T7	Version	5160	5164	16.0
PMC3198078	T8	Developer	5166	5170	SPSS
PMC4918545	T1	Application_Mention	480	487	Image J
PMC4918545	T2	Developer	498	527	National Institutes of Health
PMC4918545	T3	Application_Mention	549	556	PDQuest
PMC4918545	T4	Version	559	562	8.0
PMC4918545	T5	Developer	564	589	Bio-Rad Laboratories, Inc
PMC4918545	T6	Application_Mention	2124	2136	GPS Explorer
PMC4918545	T7	Version	2139	2142	3.5
PMC4918545	T8	Developer	2173	2202	Thermo Fisher Scientific, Inc
PMC4918545	T9	Application_Mention	2224	2230	Mascot
PMC4918545	T10	Version	2240	2245	2.1.0
PMC4918545	T11	Developer	2247	2265	Matrix Science Ltd
PMC4918545	T12	Application_Mention	2511	2517	Mascot
PMC4918545	T13	Application_Mention	2770	2774	SPSS
PMC4918545	T14	Version	2792	2796	22.0
PMC4918545	T15	Developer	2825	2833	SPSS Inc
PMC4531765	T1	Application_Mention	66	93	Micro-Probe staining system
PMC4531765	T2	Developer	95	112	Fisher Scientific
PMC4357732	T1	Application_Mention	666	672	Mascot
PMC4354499	T1	Application_Mention	722	736	oligo analyzer
