filename	mark	label	off0	off1	span
PMC4766201	T1	Application_Mention	473	516	Statistical Package for the Social Sciences
PMC4763990	T1	Application_Mention	755	763	Audacity
PMC4763990	T3	Application_Mention	1290	1296	MATLAB
PMC4763990	T5	Application_Mention	4620	4627	LabView
PMC4763990	T8	Application_Mention	5836	5842	MATLAB
PMC4763990	T9	Application_Mention	8247	8253	MATLAB
PMC4763990	T10	Application_Mention	8755	8759	SPSS
PMC3337072	T1	Application_Mention	1241	1251	BeadStudio
PMC3337072	T2	Application_Mention	1540	1541	R
PMC3337072	T4	Application_Mention	1950	1964	R/affy package
PMC3337072	T5	Application_Mention	2171	2172	R
PMC3337072	T6	Application_Mention	2239	2249	BeadStudio
PMC3337072	T7	Application_Mention	2260	2271	R/beadarray
PMC3337072	T8	Application_Mention	2363	2387	R/preprocessCore package
PMC3337072	T9	Application_Mention	2723	2740	R/maanova package
PMC3337072	T10	Application_Mention	4443	4457	Primer Express
PMC3337072	T13	Application_Mention	5924	5928	SPSS
PMC3773590	T1	Application_Mention	1086	1090	SPSS
PMC4213536	T1	Application_Mention	3397	3400	SAS
PMC4345719	T1	Application_Mention	63	67	SPSS
PMC4921791	T1	Application_Mention	843	850	JMP Pro
PMC4921791	T3	Application_Mention	1015	1022	JMP Pro
PMC4921791	T5	Application_Mention	1260	1265	excel
PMC2995975	T1	Application_Mention	328	348	Mann- Whitney U-test
PMC2995975	T2	Application_Mention	726	730	PASW
PMC4567174	T1	Application_Mention	318	323	Prism
PMC5435264	T2	Application_Mention	339	344	Excel
PMC4050386	T1	Application_Mention	762	766	SPSS
PMC5129524	T1	Application_Mention	593	606	HiSeq Control
PMC5129524	T3	Application_Mention	646	671	Illumina Primary Analysis
PMC5129524	T5	Application_Mention	696	714	Secondary Analysis
PMC5129524	T7	Application_Mention	905	911	BLASTx
PMC5129524	T8	Application_Mention	1116	1123	hmmscan
PMC5129524	T10	Application_Mention	1149	1162	HMMER package
PMC5129524	T11	Application_Mention	1257	1262	tmhmm
PMC5129524	T13	Application_Mention	1299	1306	signalP
PMC5129524	T15	Application_Mention	2353	2371	R package pheatmap
PMC5129524	T16	Application_Mention	2811	2826	R package topGO
PMC5147225	T1	Application_Mention	268	277	3D Slicer
PMC5147225	T3	Application_Mention	348	376	MakerBot desktop application
PMC2881384	T1	Application_Mention	194	199	HMMER
PMC2881384	T2	Application_Mention	228	231	SAM
PMC2881384	T3	Application_Mention	1009	1014	HMMER
PMC2881384	T4	Application_Mention	1019	1022	SAM
PMC2881384	T5	Application_Mention	1149	1154	HMMER
PMC2881384	T6	Application_Mention	1168	1173	HMMER
PMC2881384	T7	Application_Mention	1613	1619	MUSCLE
PMC2881384	T9	Application_Mention	1873	1879	MUSCLE
PMC2881384	T10	Application_Mention	1936	1942	MUSCLE
PMC2881384	T11	Application_Mention	1979	1984	HMMER
PMC2881384	T13	Application_Mention	2060	2073	SmurfPreparse
PMC2881384	T14	Application_Mention	2457	2460	SAM
PMC2881384	T15	Application_Mention	2490	2495	HMMER
PMC2881384	T16	Application_Mention	2514	2517	SAM
PMC2881384	T17	Application_Mention	2576	2581	HMMER
PMC2881384	T18	Application_Mention	2668	2673	HMMER
PMC2881384	T20	Application_Mention	2847	2855	hmmbuild
PMC2881384	T21	Application_Mention	2884	2889	HMMER
PMC2881384	T22	Application_Mention	3520	3525	HMMER
PMC2881384	T23	Application_Mention	3639	3644	HMMER
PMC2881384	T24	Application_Mention	4005	4010	HMMER
PMC2881384	T25	Application_Mention	4973	4978	HMMER
PMC2881384	T26	Application_Mention	5167	5172	HMMER
PMC2881384	T27	Application_Mention	5476	5479	SAM
PMC2881384	T28	Application_Mention	6041	6046	HMMER
PMC2881384	T29	Application_Mention	6228	6233	HMMER
PMC4531739	T1	Application_Mention	406	452	Statistical Packages for Social Science (SPSS)
PMC5096434	T1	Application_Mention	2524	2562	homeostatic model assessment 2 (HOMA2)
PMC5096434	T3	Application_Mention	4958	4963	Stata
PMC5108428	T1	Application_Mention	130	139	WinNonlin
PMC5108428	T4	Application_Mention	2500	2503	SAS
PMC5013290	T1	Application_Mention	354	358	SPSS
PMC5089661	T1	Application_Mention	566	573	MNScore
PMC5089661	T3	Application_Mention	1770	1827	Image Data Exploration and Analysis Software (IDEAS V R )
PMC5089661	T4	Application_Mention	2238	2243	IDEAS
PMC5089661	T5	Application_Mention	3324	3329	IDEAS
PMC5089661	T7	Application_Mention	4035	4040	IDEAS
PMC5089661	T8	Application_Mention	4218	4223	IDEAS
PMC5089661	T10	Application_Mention	4437	4442	IDEAS
PMC5089661	T11	Application_Mention	4722	4727	IDEAS
PMC5089661	T12	Application_Mention	5928	5933	IDEAS
PMC5089661	T13	Application_Mention	6319	6325	Matlab
PMC5089661	T14	Application_Mention	7239	7244	CABAS
PMC5089661	T16	Application_Mention	7249	7282	Chromosome Aberration Calculation
PMC5089661	T17	Application_Mention	8596	8601	IDEAS
PMC5089661	T18	Application_Mention	10773	10778	IDEAS
PMC5089661	T19	Application_Mention	10830	10835	IDEAS
PMC5089661	T20	Application_Mention	11081	11086	IDEAS
PMC5089661	T21	Application_Mention	11422	11427	IDEAS
PMC5089661	T22	Application_Mention	12533	12538	IDEAS
PMC5089661	T23	Application_Mention	13072	13077	IDEAS
PMC5089661	T24	Application_Mention	14328	14333	IDEAS
PMC5089661	T25	Application_Mention	14599	14604	IDEAS
PMC4985394	T1	Application_Mention	42	45	SAS
PMC4496510	T1	Application_Mention	717	721	SPSS
PMC4816756	T1	Application_Mention	118	119	R
PMC4816756	T2	Application_Mention	198	208	compute.es
PMC4816756	T3	Application_Mention	220	221	R
PMC4816756	T4	Application_Mention	302	303	R
PMC4816756	T5	Application_Mention	1151	1156	limma
PMC4816756	T6	Application_Mention	1182	1183	R
PMC4816756	T7	Application_Mention	1211	1218	splines
PMC4816756	T8	Application_Mention	1223	1228	limma
PMC4816756	T9	Application_Mention	1241	1242	R
PMC4816756	T10	Application_Mention	1521	1526	limma
PMC4816756	T11	Application_Mention	2443	2453	MassHunter
PMC3580823	T1	Application_Mention	1033	1044	LC solution
PMC3580823	T3	Application_Mention	1963	1967	SPSS
PMC4922354	T1	Application_Mention	665	677	CRON-O-Meter
PMC4922354	T3	Application_Mention	1386	1401	PASW Statistics
PMC4922354	T5	Application_Mention	1419	1426	MedCalc
PMC3710919	T1	Application_Mention	33	37	SPSS
PMC3595621	T2	Application_Mention	995	1000	Excel
PMC3595621	T3	Application_Mention	1019	1062	Statistical Package for the Social Sciences
PMC3717584	T1	Application_Mention	189	218	Statistical Analysis Software
PMC3717584	T4	Application_Mention	262	267	STATA
PMC3944114	T1	Application_Mention	69	75	NONMEM
PMC3944114	T2	Application_Mention	94	103	NONMEM VI
PMC3944114	T5	Application_Mention	253	259	NONMEM
PMC3944114	T6	Application_Mention	322	328	NONMEM
PMC3944114	T7	Application_Mention	1975	1981	NONMEM
PMC3263915	T1	Application_Mention	412	415	SAS
PMC4925014	T1	Application_Mention	71	77	FlowJo
PMC4925014	T3	Application_Mention	185	190	Prism
PMC5153420	T1	Application_Mention	260	265	CARTO
PMC5153420	T3	Application_Mention	447	452	CARTO
PMC3112533	T1	Application_Mention	457	465	Clocklab
PMC3112533	T3	Application_Mention	502	508	MatLab
PMC3112533	T5	Application_Mention	2007	2058	Biological Rhythms Analysis Software System (BRASS)
PMC3112533	T6	Application_Mention	2267	2272	BRASS
PMC4205716	T1	Application_Mention	34	38	SPSS
PMC5463043	T1	Application_Mention	1183	1197	GraphPad Prism
PMC3881102	T1	Application_Mention	405	422	Cohort Query Tool
PMC3529531	T1	Application_Mention	436	442	ImageJ
PMC3529531	T3	Application_Mention	1469	1475	ImageJ
PMC3529531	T5	Application_Mention	1924	1929	Excel
PMC3529531	T8	Application_Mention	1974	1979	Prism
PMC5304233	T1	Application_Mention	285	294	Qualtrics
PMC2678927	T1	Application_Mention	324	329	Plink
PMC2678927	T2	Application_Mention	379	388	HaploView
PMC3789260	T1	Application_Mention	2986	3003	MetaMorph Imaging
PMC3789260	T3	Application_Mention	3399	3408	MetaMorph
PMC5129490	T1	Application_Mention	175	180	Stata
PMC5129490	T3	Application_Mention	215	216	R
PMC3563119	T1	Application_Mention	30	31	R
PMC3446116	T1	Application_Mention	352	356	SPSS
PMC3816860	T1	Application_Mention	1110	1113	SAS
PMC3691566	T1	Application_Mention	666	681	Zeiss LSM Image
PMC3691566	T2	Application_Mention	1630	1666	Bio MAS (molecule annotation system)
PMC3691566	T5	Application_Mention	2258	2261	MAS
PMC3691566	T7	Application_Mention	2439	2510	DAVID (Database for Annotation, Visualization and Integrated Discovery)
PMC3691566	T8	Application_Mention	3431	3436	iQTM5
PMC3691566	T9	Application_Mention	3675	3681	Primer
PMC3200513	T1	Application_Mention	5	9	SPSS
PMC4589713	T1	Application_Mention	1074	1078	SPSS
PMC4250666	T1	Application_Mention	318	322	SPSS
PMC4623366	T1	Application_Mention	338	378	Interactive Voice Response System (IVRS)
PMC4623366	T2	Application_Mention	436	440	IVRS
PMC2789947	T1	Application_Mention	46	50	SPSS
PMC4958647	T1	Application_Mention	3	10	Can-pro
PMC4958647	T4	Application_Mention	244	271	Statistical Analysis System
PMC3241662	T1	Application_Mention	312	321	ESEfinder
PMC3241662	T2	Application_Mention	402	411	ESEfinder
PMC4350160	T1	Application_Mention	3780	3784	SPSS
PMC4600182	T1	Application_Mention	32	37	Stata
PMC4622454	T1	Application_Mention	1022	1026	SPSS
PMC3028489	T1	Application_Mention	412	420	DeMotion
PMC3028489	T2	Application_Mention	849	864	PASW Statistics
PMC3371588	T1	Application_Mention	525	565	General Structure Analysis System (GSAS)
PMC4602909	T1	Application_Mention	556	560	SPSS
PMC5407455	T1	Application_Mention	1184	1188	SPSS
PMC4068285	T1	Application_Mention	101	109	GraphPad
PMC3973247	T1	Application_Mention	788	807	Stereo Investigator
PMC3973247	T4	Application_Mention	2072	2076	TINA
PMC2927939	T1	Application_Mention	3032	3054	SAS Enter- prise Guide
PMC5235341	T1	Application_Mention	1158	1162	Halo
PMC5235341	T3	Application_Mention	1348	1360	NIS-Elements
PMC5235341	T5	Application_Mention	2096	2102	ImageJ
PMC5235341	T7	Application_Mention	2185	2200	Graph Pad Prism
PMC4313447	T1	Application_Mention	39	44	STATA
PMC3661168	T1	Application_Mention	1572	1575	SAS
PMC3661168	T3	Application_Mention	1647	1661	GraphPad Prism
PMC2585846	T1	Application_Mention	681	685	MAS5
PMC2585846	T2	Application_Mention	1378	1393	Custom software
PMC2585846	T3	Application_Mention	1409	1439	Interactive Data Language (IDL
PMC3595153	T1	Application_Mention	919	922	SAS
PMC4513598	T1	Application_Mention	1	8	MedCalc
PMC3994435	T1	Application_Mention	1063	1068	Stata
PMC3590666	T2	Application_Mention	70	84	SPSS Statistic
PMC4094575	T1	Application_Mention	733	747	GraphPad Prism
PMC3771852	T1	Application_Mention	51	58	SPARTAN
PMC3771852	T4	Application_Mention	900	907	SYBYL-X
PMC4804676	T1	Application_Mention	35	38	SAS
PMC4505995	T1	Application_Mention	43	47	SPSS
PMC3829989	T1	Application_Mention	217	222	Omega
PMC3829989	T3	Application_Mention	301	304	MOE
PMC4809187	T1	Application_Mention	804	807	SAS
PMC5389568	T1	Application_Mention	689	692	XDS
PMC5389568	T2	Application_Mention	752	758	PHENIX
PMC5389568	T3	Application_Mention	838	844	PHENIX
PMC5389568	T4	Application_Mention	1585	1599	GraphPad Prism
PMC5389568	T6	Application_Mention	1684	1693	Cufflinks
PMC5389568	T7	Application_Mention	1900	1914	GraphPad Prism
PMC3507205	T1	Application_Mention	318	332	GraphPad Prism
PMC4743607	T1	Application_Mention	112	116	SPSS
PMC4266938	T1	Application_Mention	1022	1027	STATA
PMC5089945	T1	Application_Mention	795	805	GeneGenius
PMC2626662	T1	Application_Mention	236	242	MOLREP
PMC2626662	T2	Application_Mention	415	419	COOT
PMC2626662	T3	Application_Mention	489	495	REFMAC
PMC2626662	T5	Application_Mention	851	858	HKL2000
PMC2626662	T6	Application_Mention	1100	1106	PHASER
PMC2626662	T7	Application_Mention	1286	1290	COOT
PMC2626662	T8	Application_Mention	1360	1366	REFMAC
PMC2626662	T10	Application_Mention	1606	1612	REFMAC
PMC2626662	T12	Application_Mention	1732	1740	PROCHECK
PMC2626662	T13	Application_Mention	1752	1764	MOL- BROBITY
PMC2626662	T14	Application_Mention	1824	1834	MOLPROBITY
PMC2626662	T15	Application_Mention	2338	2343	PyMOL
PMC2626662	T16	Application_Mention	2359	2372	BIAevaluation
PMC2626662	T19	Application_Mention	3970	3976	MOSFLM
PMC2626662	T20	Application_Mention	3987	3994	HKL2000
PMC2626662	T21	Application_Mention	4033	4038	SCALA
PMC2626662	T22	Application_Mention	4064	4074	CCP4 suite
PMC2626662	T23	Application_Mention	4085	4094	scalepack
PMC2626662	T24	Application_Mention	4309	4315	MOLREP
PMC2626662	T25	Application_Mention	4484	4488	COOT
PMC2626662	T26	Application_Mention	4558	4564	REFMAC
PMC2626662	T28	Application_Mention	4856	4862	REFMAC
PMC3915115	T1	Application_Mention	516	521	STATA
PMC3915115	T3	Application_Mention	963	967	6CIT
PMC4700408	T1	Application_Mention	45	54	SigmaStat
PMC4501418	T1	Application_Mention	69	74	Prism
PMC3276086	T1	Application_Mention	177	191	Primer Express
PMC3641311	T1	Application_Mention	112	116	SPSS
PMC5143422	T1	Application_Mention	468	475	HKL2000
PMC5143422	T2	Application_Mention	502	514	CrystalClear
PMC5143422	T3	Application_Mention	693	699	Phenix
PMC5143422	T4	Application_Mention	719	722	CNS
PMC5143422	T5	Application_Mention	932	936	Coot
PMC5143422	T6	Application_Mention	979	984	PyMol
PMC5143422	T7	Application_Mention	995	1000	SYBYL
PMC5143422	T9	Application_Mention	1220	1225	SYBYL
PMC5143422	T10	Application_Mention	1718	1722	GOLD
PMC5143422	T11	Application_Mention	2899	2904	ATSAS
PMC5143422	T12	Application_Mention	2942	2948	PRIMUS
PMC5143422	T13	Application_Mention	3066	3072	CRYSOL
