filename	mark	label	off0	off1	span
PMC4766201	T1	Application_Mention	473	516	Statistical Package for the Social Sciences
PMC4766201	T2	Version	533	537	16.0
PMC4763990	T1	Application_Mention	755	763	Audacity
PMC4763990	T2	Version	772	777	2.0.5
PMC4763990	T3	Application_Mention	1290	1296	MATLAB
PMC4763990	T4	Developer	1298	1312	Mathworks, Inc
PMC4763990	T5	Application_Mention	4620	4627	LabView
PMC4763990	T6	Version	4628	4631	2.0
PMC4763990	T7	Developer	4633	4653	National Instruments
PMC4763990	T8	Application_Mention	5836	5842	MATLAB
PMC4763990	T9	Application_Mention	8247	8253	MATLAB
PMC4763990	T10	Application_Mention	8755	8759	SPSS
PMC4763990	T11	Developer	8761	8770	SPSS, Inc
PMC3337072	T1	Application_Mention	1241	1251	BeadStudio
PMC3337072	T2	Application_Mention	1540	1541	R
PMC3337072	T3	URL	1889	1913	http://www.R-project.org
PMC3337072	T4	Application_Mention	1950	1964	R/affy package
PMC3337072	T5	Application_Mention	2171	2172	R
PMC3337072	T6	Application_Mention	2239	2249	BeadStudio
PMC3337072	T7	Application_Mention	2260	2271	R/beadarray
PMC3337072	T8	Application_Mention	2363	2387	R/preprocessCore package
PMC3337072	T9	Application_Mention	2723	2740	R/maanova package
PMC3337072	T10	Application_Mention	4443	4457	Primer Express
PMC3337072	T11	Version	4476	4479	3.0
PMC3337072	T12	Developer	4481	4502	PE Applied Biosystems
PMC3337072	T13	Application_Mention	5924	5928	SPSS
PMC3337072	T14	Version	5929	5933	14.0
PMC3337072	T15	Developer	5935	5943	SPSS Inc
PMC3773590	T1	Application_Mention	1086	1090	SPSS
PMC3773590	T2	Version	1096	1100	18.0
PMC3773590	T3	Developer	1102	1108	IBM Co
PMC4213536	T1	Application_Mention	3397	3400	SAS
PMC4345719	T1	Application_Mention	63	67	SPSS
PMC4345719	T2	Version	68	74	19.0 J
PMC4345719	T3	Developer	88	96	SPSS Inc
PMC4921791	T1	Application_Mention	843	850	JMP Pro
PMC4921791	T2	Version	851	853	12
PMC4921791	T3	Application_Mention	1015	1022	JMP Pro
PMC4921791	T4	Version	1023	1025	12
PMC4921791	T5	Application_Mention	1260	1265	excel
PMC2995975	T1	Application_Mention	328	348	Mann- Whitney U-test
PMC2995975	T2	Application_Mention	726	730	PASW
PMC4567174	T1	Application_Mention	318	323	Prism
PMC4567174	T2	Version	350	354	5.02
PMC4567174	T3	Developer	356	377	GraphPad Software Inc
PMC5435264	T1	Developer	336	338	MS
PMC5435264	T2	Application_Mention	339	344	Excel
PMC4050386	T1	Application_Mention	762	766	SPSS
PMC4050386	T2	Version	775	779	20.0
PMC4050386	T3	Developer	781	789	SPSS Inc
PMC5129524	T1	Application_Mention	593	606	HiSeq Control
PMC5129524	T2	Version	616	622	1.5.15
PMC5129524	T3	Application_Mention	646	671	Illumina Primary Analysis
PMC5129524	T4	Version	680	691	RTA 1.13.48
PMC5129524	T5	Application_Mention	696	714	Secondary Analysis
PMC5129524	T6	Version	723	735	CASAVA-1.8.2
PMC5129524	T7	Application_Mention	905	911	BLASTx
PMC5129524	T8	Application_Mention	1116	1123	hmmscan
PMC5129524	T9	Version	1133	1138	3.1b1
PMC5129524	T10	Application_Mention	1149	1162	HMMER package
PMC5129524	T11	Application_Mention	1257	1262	tmhmm
PMC5129524	T12	Version	1272	1276	2.0c
PMC5129524	T13	Application_Mention	1299	1306	signalP
PMC5129524	T14	Version	1315	1318	4.1
PMC5129524	T15	Application_Mention	2353	2371	R package pheatmap
PMC5129524	T16	Application_Mention	2811	2826	R package topGO
PMC5147225	T1	Application_Mention	268	277	3D Slicer
PMC5147225	T2	URL	279	300	http://www.slicer.org
PMC5147225	T3	Application_Mention	348	376	MakerBot desktop application
PMC5147225	T4	Developer	430	449	MakerBot Industries
PMC2881384	T1	Application_Mention	194	199	HMMER
PMC2881384	T2	Application_Mention	228	231	SAM
PMC2881384	T3	Application_Mention	1009	1014	HMMER
PMC2881384	T4	Application_Mention	1019	1022	SAM
PMC2881384	T5	Application_Mention	1149	1154	HMMER
PMC2881384	T6	Application_Mention	1168	1173	HMMER
PMC2881384	T7	Application_Mention	1613	1619	MUSCLE
PMC2881384	T8	Version	1627	1628	4
PMC2881384	T9	Application_Mention	1873	1879	MUSCLE
PMC2881384	T10	Application_Mention	1936	1942	MUSCLE
PMC2881384	T11	Application_Mention	1979	1984	HMMER
PMC2881384	T12	Version	1985	1990	3.0a2
PMC2881384	T13	Application_Mention	2060	2073	SmurfPreparse
PMC2881384	T14	Application_Mention	2457	2460	SAM
PMC2881384	T15	Application_Mention	2490	2495	HMMER
PMC2881384	T16	Application_Mention	2514	2517	SAM
PMC2881384	T17	Application_Mention	2576	2581	HMMER
PMC2881384	T18	Application_Mention	2668	2673	HMMER
PMC2881384	T19	Version	2683	2688	3.0a2
PMC2881384	T20	Application_Mention	2847	2855	hmmbuild
PMC2881384	T21	Application_Mention	2884	2889	HMMER
PMC2881384	T22	Application_Mention	3520	3525	HMMER
PMC2881384	T23	Application_Mention	3639	3644	HMMER
PMC2881384	T24	Application_Mention	4005	4010	HMMER
PMC2881384	T25	Application_Mention	4973	4978	HMMER
PMC2881384	T26	Application_Mention	5167	5172	HMMER
PMC2881384	T27	Application_Mention	5476	5479	SAM
PMC2881384	T28	Application_Mention	6041	6046	HMMER
PMC2881384	T29	Application_Mention	6228	6233	HMMER
PMC4531739	T1	Application_Mention	406	452	Statistical Packages for Social Science (SPSS)
PMC4531739	T2	Version	453	456	8.0
PMC5096434	T1	Application_Mention	2524	2562	homeostatic model assessment 2 (HOMA2)
PMC5096434	T2	URL	2590	2643	https://www.dtu.ox.ac.uk/homacalculator/ download.php
PMC5096434	T3	Application_Mention	4958	4963	Stata
PMC5096434	T4	Version	4964	4966	13
PMC5108428	T1	Application_Mention	130	139	WinNonlin
PMC5108428	T2	Version	152	157	6.2.1
PMC5108428	T3	Developer	159	173	Pharsight Corp
PMC5108428	T4	Application_Mention	2500	2503	SAS
PMC5013290	T1	Application_Mention	354	358	SPSS
PMC5013290	T2	Version	359	363	19.0
PMC5013290	T3	Developer	374	377	IBM
PMC5089661	T1	Application_Mention	566	573	MNScore
PMC5089661	T2	Developer	630	641	MetaSystems
PMC5089661	T3	Application_Mention	1770	1827	Image Data Exploration and Analysis Software (IDEAS V R )
PMC5089661	T4	Application_Mention	2238	2243	IDEAS
PMC5089661	T5	Application_Mention	3324	3329	IDEAS
PMC5089661	T6	Version	3339	3342	6.2
PMC5089661	T7	Application_Mention	4035	4040	IDEAS
PMC5089661	T8	Application_Mention	4218	4223	IDEAS
PMC5089661	T9	Version	4233	4236	6.2
PMC5089661	T10	Application_Mention	4437	4442	IDEAS
PMC5089661	T11	Application_Mention	4722	4727	IDEAS
PMC5089661	T12	Application_Mention	5928	5933	IDEAS
PMC5089661	T13	Application_Mention	6319	6325	Matlab
PMC5089661	T14	Application_Mention	7239	7244	CABAS
PMC5089661	T15	Version	7246	7247	2
PMC5089661	T16	Application_Mention	7249	7282	Chromosome Aberration Calculation
PMC5089661	T17	Application_Mention	8596	8601	IDEAS
PMC5089661	T18	Application_Mention	10773	10778	IDEAS
PMC5089661	T19	Application_Mention	10830	10835	IDEAS
PMC5089661	T20	Application_Mention	11081	11086	IDEAS
PMC5089661	T21	Application_Mention	11422	11427	IDEAS
PMC5089661	T22	Application_Mention	12533	12538	IDEAS
PMC5089661	T23	Application_Mention	13072	13077	IDEAS
PMC5089661	T24	Application_Mention	14328	14333	IDEAS
PMC5089661	T25	Application_Mention	14599	14604	IDEAS
PMC4985394	T1	Application_Mention	42	45	SAS
PMC4985394	T2	Version	46	49	9.2
PMC4985394	T3	Developer	51	64	SAS Institute
PMC4496510	T1	Application_Mention	717	721	SPSS
PMC4496510	T2	Version	727	731	18.0
PMC4496510	T3	Developer	733	741	SPSS Inc
PMC4816756	T1	Application_Mention	118	119	R
PMC4816756	T2	Application_Mention	198	208	compute.es
PMC4816756	T3	Application_Mention	220	221	R
PMC4816756	T4	Application_Mention	302	303	R
PMC4816756	T5	Application_Mention	1151	1156	limma
PMC4816756	T6	Application_Mention	1182	1183	R
PMC4816756	T7	Application_Mention	1211	1218	splines
PMC4816756	T8	Application_Mention	1223	1228	limma
PMC4816756	T9	Application_Mention	1241	1242	R
PMC4816756	T10	Application_Mention	1521	1526	limma
PMC4816756	T11	Application_Mention	2443	2453	MassHunter
PMC4816756	T12	Developer	2455	2462	Agilent
PMC3580823	T1	Application_Mention	1033	1044	LC solution
PMC3580823	T2	Version	1053	1057	1.25
PMC3580823	T3	Application_Mention	1963	1967	SPSS
PMC3580823	T4	Version	1992	1996	11.5
PMC3580823	T5	Developer	1998	2006	SPSS Inc
PMC4922354	T1	Application_Mention	665	677	CRON-O-Meter
PMC4922354	T2	Version	679	684	0.9.6
PMC4922354	T3	Application_Mention	1386	1401	PASW Statistics
PMC4922354	T4	Version	1410	1414	18.0
PMC4922354	T5	Application_Mention	1419	1426	MedCalc
PMC4922354	T6	Version	1436	1440	11.4
PMC3710919	T1	Application_Mention	33	37	SPSS
PMC3710919	T2	Version	46	50	15.0
PMC3710919	T3	Developer	52	60	SPSS Inc
PMC3595621	T1	Developer	985	994	Microsoft
PMC3595621	T2	Application_Mention	995	1000	Excel
PMC3595621	T3	Application_Mention	1019	1062	Statistical Package for the Social Sciences
PMC3595621	T4	Version	1070	1074	12.0
PMC3717584	T1	Application_Mention	189	218	Statistical Analysis Software
PMC3717584	T2	Version	234	237	9.2
PMC3717584	T3	Developer	239	256	SAS Institute Inc
PMC3717584	T4	Application_Mention	262	267	STATA
PMC3717584	T5	Version	270	274	11.2
PMC3717584	T6	Developer	276	285	StataCorp
PMC3944114	T1	Application_Mention	69	75	NONMEM
PMC3944114	T2	Application_Mention	94	103	NONMEM VI
PMC3944114	T3	Version	112	113	2
PMC3944114	T4	Developer	115	156	Reagents of the University of California,
PMC3944114	T5	Application_Mention	253	259	NONMEM
PMC3944114	T6	Application_Mention	322	328	NONMEM
PMC3944114	T7	Application_Mention	1975	1981	NONMEM
PMC3263915	T1	Application_Mention	412	415	SAS
PMC3263915	T2	Version	424	427	9.1
PMC3263915	T3	Developer	429	444	SAS In- stitute
PMC4925014	T1	Application_Mention	71	77	FlowJo
PMC4925014	T2	Developer	79	88	Tree Star
PMC4925014	T3	Application_Mention	185	190	Prism
PMC4925014	T4	Developer	192	209	GraphPad Software
PMC5153420	T1	Application_Mention	260	265	CARTO
PMC5153420	T2	Developer	282	304	Biosense, Webster, Inc
PMC5153420	T3	Application_Mention	447	452	CARTO
PMC3112533	T1	Application_Mention	457	465	Clocklab
PMC3112533	T2	Developer	476	487	Actimetrics
PMC3112533	T3	Application_Mention	502	508	MatLab
PMC3112533	T4	Developer	510	519	Mathworks
PMC3112533	T5	Application_Mention	2007	2058	Biological Rhythms Analysis Software System (BRASS)
PMC3112533	T6	Application_Mention	2267	2272	BRASS
PMC3112533	T7	Developer	2295	2321	Dr Brown PE and co-workers
PMC3112533	T8	URL	2344	2385	http://millar.bio.ed.ac.uk/Downloads.html
PMC4205716	T1	Application_Mention	34	38	SPSS
PMC4205716	T2	Version	39	43	13.0
PMC4205716	T3	Developer	65	73	SPSS Inc
PMC5463043	T1	Application_Mention	1183	1197	GraphPad Prism
PMC5463043	T2	Version	1199	1202	5.0
PMC5463043	T3	Developer	1204	1221	GraphPad Software
PMC3881102	T1	Application_Mention	405	422	Cohort Query Tool
PMC3529531	T1	Application_Mention	436	442	ImageJ
PMC3529531	T2	Developer	444	473	National Institutes of Health
PMC3529531	T3	Application_Mention	1469	1475	ImageJ
PMC3529531	T4	Version	1476	1481	1.42j
PMC3529531	T5	Application_Mention	1924	1929	Excel
PMC3529531	T6	Developer	1936	1945	Microsoft
PMC3529531	T7	Version	1962	1968	12.2.0
PMC3529531	T8	Application_Mention	1974	1979	Prism
PMC3529531	T9	Version	1980	1981	5
PMC3529531	T10	Developer	1983	2000	GraphPad Software
PMC5304233	T1	Application_Mention	285	294	Qualtrics
