tokens,labels
"['Fluorescence', 'intensity', 'in', 'PR', 'was', 'rigorously', 'and', 'reproducibly', 'quantified', 'in', 'an', 'unbiased', 'manner', 'as', 'previously', 'described', '(63).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Individual', 'colour', 'channel', 'images', 'were', 'taken', 'using', 'a', 'Leica', 'microscope', '(Leica', 'Microsystems', 'GmbH).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['TIFF', 'images', 'were', 'gray-scaled', 'with', 'image', 'analysis', 'software', '(LAS', 'AF', 'lite', 'Leica', 'Microsystems', 'GmbH).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'I-Application_Mention', 'I-Application_Mention', 'O', 'O', 'O']"
"['Six', 'images', 'of', 'each', 'eye', 'were', 'analyzed', 'at', '20×', 'magnification', 'by', 'a', 'masked', 'observer.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'PR', '(outer', 'nuclear', 'layer', '+', 'OS)', 'were', 'selectively', 'outlined', 'in', 'every', 'image,', 'and', 'the', 'total', 'fluorescence', 'for', 'the', 'enclosed', 'area', 'was', 'calculated', 'in', 'an', 'unbiased', 'manner', 'using', 'the', 'image', 'analysis', 'software.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'fluorescence', 'in', 'PR', 'was', 'then', 'averaged', 'from', 'six', 'images', 'collected', 'from', 'separate', 'retinal', 'sections', 'from', 'each', 'eye.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'then', 'calculated', 'the', 'average', 'fluorescence', 'of', 'the', 'three', 'eyes', 'of', 'each', 'experimental', 'group.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['For', 'lipofuscin', 'fluorescence', 'analysis,', 'eyes', 'were', 'harvested', 'from', 'pigmented', 'Abca4+/−', 'and', 'Abca4−/−', 'mice', 'at', '3', 'months', 'after', 'AAV', 'injection.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mice', 'were', 'dark-adapted', 'over-night', 'and', 'sacrificed', 'under', 'dim', 'red-light.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['For', 'each', 'eye,', 'four', 'overlapping', 'pictures', 'from', 'the', 'temporal', 'side', 'of', 'three', 'sections', 'at', 'different', 'levels', 'of', 'the', 'eye', 'were', 'taken', 'using', 'a', 'Leica', 'DM5000B', 'microscope', 'equipped', 'with', 'a', 'TX2', 'filter', '(excitation:', '560', '±', '40', 'nm;', 'emission:', '645', '±', '75)', '(64-', '68)', 'and', 'under', 'a', '20×', 'objective.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
