filename	mark	label	off0	off1	span
PMC5345811	T1	Application_Usage	114	118	SPSS
PMC5345811	T2	Application_Usage	66	78	AcqKnowledge
PMC5345811	T3	Version	128	130	23
PMC5345811	T4	Developer	132	140	IBM Corp
PMC5349444	T1	Application_Usage	40	44	SPSS
PMC5349444	T2	Version	45	49	13.0
PMC5351992	T1	Application_Usage	26	30	SPSS
PMC5351992	T2	Version	40	42	23
PMC5367715	T1	ProgrammingEnvironment_Usage	71	77	MATLAB
PMC5367715	T2	Application_Usage	123	129	EEGLAB
PMC5367715	T3	Developer	79	88	MathWorks
PMC5367715	T4	Citation	142	146	[38]
PMC5381894	T1	Application_Usage	59	63	SPSS
PMC5381894	T2	PlugIn_Usage	64	79	Complex samples
PMC5383158	T1	Application_Usage	49	53	SPSS
PMC5383158	T2	Version	33	37	17.0
PMC5383275	T2	Application_Usage	53	59	ArcGIS
PMC5383275	T3	Application_Usage	78	83	Stata
PMC5383275	T4	OperatingSystem_Usage	113	120	Windows
PMC5383275	T1	Version	60	64	10.3
PMC5383275	T5	Version	104	108	12.1
PMC5383275	T6	Extension	84	86	SE
PMC5384787	T1	Application_Usage	12	16	SPSS
PMC5384787	T2	Developer	8	11	IBM
PMC5384787	T3	Version	17	21	22.0
PMC5388499	T1	Application_Usage	10	14	SPSS
PMC5388499	T2	Version	15	19	18.0
PMC5388499	T3	Developer	38	41	IBM
PMC5391050	T1	Application_Usage	34	39	Prism
PMC5391050	T2	OperatingSystem_Usage	57	63	Mac OS
PMC5391050	T3	Developer	25	33	GraphPad
PMC5391050	T4	Version	48	52	6.0f
PMC5391050	T5	Version	64	65	X
PMC5391050	T6	Developer	68	85	GraphPad Software
PMC5391050	T7	URL	112	128	www.graphpad.com
PMC5407852	T1	Application_Usage	100	103	SAS
PMC5407852	T2	Version	122	127	9.13.
PMC5417513	T1	Application_Usage	34	37	SAS
PMC5417513	T2	Version	41	44	9.3
PMC5417526	T1	ProgrammingEnvironment_Usage	69	75	MATLAB
PMC5417526	T2	Developer	77	86	Mathworks
PMC5423609	T1	Application_Usage	28	32	SPSS
PMC5423609	T2	Version	41	45	21.0
PMC5423609	T3	Citation	46	50	[34]
PMC5451014	T1	Application_Usage	15	20	Stata
PMC5462373	T2	Application_Usage	114	125	Questionpro
PMC5462373	T3	Application_Usage	193	196	SAS
PMC5462373	T1	Version	197	200	9.3
PMC5462373	T4	Application_Mention	129	133	SPSS
PMC5462428	T1	Application_Usage	41	44	SAS
PMC5462428	T2	Version	45	48	9.3
PMC5462428	T3	Developer	50	63	SAS Institute
PMC5479529	T1	ProgrammingEnvironment_Usage	35	41	Matlab
PMC5479529	T2	PlugIn_Usage	42	56	Tensor Toolbox
PMC5479529	T3	Citation	57	61	[18]
PMC5507544	T1	Application_Usage	62	66	Word
PMC5507544	T2	Application_Usage	71	76	Excel
PMC5507544	T3	Application_Usage	99	104	NVivo
