filename	mark	label	off0	off1	span
PMC5967734	T1	Application_Usage	53	57	SPSS
PMC5967734	T2	Version	57	61	17.0
PMC5967734	T3	Developer	63	72	SPSS Inc.
PMC5967744	T1	Application_Usage	230	235	Stata
PMC5967744	T2	Application_Usage	306	311	Stata
PMC5967744	T3	Version	236	237	8
PMC5967744	T4	Version	312	313	8
PMC5967750	T1	Application_Usage	4	19	SPSS Statistics
PMC5967750	T2	OperatingSystem_Usage	38	45	Windows
PMC5967750	T3	Developer	0	3	IBM
PMC5967750	T4	Version	29	33	22.0
PMC5967750	T5	Citation	46	50	[64]
PMC5969737	T1	Application_Usage	12	51	Statistical Package for Social Sciences
PMC5969737	T2	Application_Usage	57	61	SPSS
PMC5969737	T3	Developer	53	56	IBM
PMC5969737	T4	Version	65	73	24.0.0.0
PMC5978990	T1	Application_Usage	34	39	STATA
PMC5978990	T2	Version	41	43	14
PMC5978990	T3	Developer	45	54	StataCorp
PMC5979022	T1	Application_Usage	37	42	STATA
PMC5979022	T2	Version	43	45	15
PMC5979022	T3	Citation	46	50	[16]
PMC5991380	T1	Application_Usage	139	146	Clustal
PMC5991380	T2	Application_Usage	68	73	BLAST
PMC5991380	T3	URL	159	200	https://www.ebi.ac.uk/Tools/msa/clustalo/
PMC5991380	T4	Extension	147	152	Omega
PMC6005473	T1	Application_Usage	38	53	SPSS Statistics
PMC6005473	T2	Developer	34	37	IBM
PMC6005473	T3	Version	63	65	22
PMC6010219	T1	Application_Usage	160	165	Excel
PMC6010219	T2	Application_Usage	487	491	SPSS
PMC6010219	T3	Version	492	494	24
PMC6013160	T1	Application_Usage	33	37	SPSS
PMC6013160	T2	OperatingSystem_Usage	42	49	Windows
PMC6013160	T3	Application_Usage	51	55	SPSS
PMC6013160	T4	Version	65	67	23
PMC6013225	T1	Application_Usage	42	47	Stata
PMC6013225	T2	Version	66	68	13
PMC6013225	T3	Developer	70	79	StataCorp
PMC6019675	T1	Application_Usage	45	49	SPSS
PMC6019675	T2	Version	55	59	21.0
PMC6023132	T1	Application_Usage	25	30	STATA
PMC6023132	T2	Version	31	35	12.0
PMC6023132	T3	Developer	37	47	Stata Corp
PMC6023202	T1	Application_Usage	24	28	SPSS
PMC6023202	T2	Version	29	31	24
PMC6028088	T1	Application_Usage	56	61	STATA
PMC6028088	T2	Version	71	73	13
PMC6028088	T3	Developer	75	85	STATA Corp
PMC6034783	T1	Application_Usage	30	34	SPSS
PMC6034783	T2	Version	43	47	22.0
